FILENAME,INSTRUMENT,BIBCODE,OBSERVATION_DATE,OBSERVATION_MJD,NAME,DESIGNATION,RA,DEC,SOURCE_KEY,OBSERVATION_TIME,PROGRAM_NUMBER,PROGRAM_PI,OBSERVER,RESOLUTION,AIRMASS,REDUCTION_SPEXTOOL_VERSION,QUALITY_FLAG,MEDIAN_SNR,SSPT,SPEX_GRAVITY_CLASSIFICATION,OSPT,OSPT_REF,NSPT,NSPT_REF,SPT,SPT_REF,OBJECT_TYPE,MAG_2MASS_J,E_MAG_2MASS_J,MAG_2MASS_H,E_MAG_2MASS_H,MAG_2MASS_KS,E_MAG_2MASS_KS,JK_EXCESS,COLOR_EXTREMITY,LUMINOSITY_CLASS,METALLICITY_CLASS,GRAVITY_CLASS_OPTICAL,GRAVITY_CLASS_OPTICAL_REF,GRAVITY_CLASS_NIR,GRAVITY_CLASS_NIR_REF,CLUSTER,CLUSTER_REF,BINARY,BINARY_REF,SBINARY,SBINARY_REF,COMPANION_NAME,COMPANION_REF,SIMBAD_OTYPE,SIMBAD_NAME,SIMBAD_SPT,SIMBAD_SPT_REF,SIMBAD_SEP,PARALLAX,PARALLAX_E,PARALLEX_REF,DISTANCE_PHOT,DISTANCE_PHOT_E,DISTANCE,DISTANCE_E,MU,MU_E,MU_RA,MU_DEC,MU_REF,VTAN,VTAN_E,RV,RV_E,RV_REF,VSINI,VSINI_E,VSINI_REF,NOTE
10005_11020.fits,SPEX-PRISM,2004AJ....127.2856B,20030521,52780.5,2MASS J13593574+3031039,J13593574+3031039,209.89893,30.51775,11020,,,,Burgasser,120,,,OK,44,M7.0,VL-G,,,d/sdM7,2004AJ....127.2856B,d/sdM7,2004AJ....127.2856B,VLM,15.87,0.077,15.606,0.122,15.271,0.159,-0.19,,,d/sd,,,VL-G,SPL,,,,,,,,,brownD*,2MASS J13593574+3031039,M7V,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
10006_11159.fits,SPEX-PRISM,2004AJ....127.2856B,20030521,52780.5,2MASS J15412408+5425598,J15412408+5425598,235.35034,54.433281,11159,,,,Burgasser,120,,,OK,47,M7.0,VL-G,,,d/sdM7,2004AJ....127.2856B,d/sdM7,2004AJ....127.2856B,VLM,15.933,0.083,15.67,0.168,15.354,0.172,-0.24,,,d/sd,,,VL-G,SPL,,,,,,,,,brownD*,2MASS J15412408+5425598,M8Ve,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
10007_11195.fits,SPEX-PRISM,2004AJ....127.2856B,20030521,52780.5,2MASS J15590462-0356280,J15590462-0356280,239.76926,-3.9411111,11195,,,,Burgasser,120,,,OK,33,M7.0,INT-G,,,d/sdM8,2004AJ....127.2856B,d/sdM8,2004AJ....127.2856B,VLM,15.972,0.082,15.723,0.157,15.388,,-0.22,,,d/sd,,,INT-G,SPL,,,,,,,,,brownD*,2MASS J15590462-0356280,M8.5Ve,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
10008_11269.fits,SPEX-PRISM,2004AJ....127.2856B,20030521,52780.5,2MASS J16403197+1231068,J16403197+1231068,250.13319,12.518556,11269,,,,Burgasser,120,,,OK,39,M7.0,FLD-G,d/sdM9,2007ApJ...657..494B,d/sdM7,BURGASSER-NP,d/sdM9,d/sdM9,VLM,15.848,0.084,15.715,0.137,15.495,0.164,-0.38,BLUE,,d/sd,,,FLD-G,SPL,,,,,,,,,brownD*,2MASS J16403197+1231068,sdM8?,2004AJ....127.2856B,,,,,,,,,819.39,84.85,-750,-330,2009AJ....137....1F,,,,,,,,,
10009_11343.fits,SPEX-PRISM,2004AJ....127.2856B,20030521,52780.5,2MASS J17330480+0041270,J17330480+0041270,263.26999,0.69083333,11343,,,,Burgasser,120,,,OK,25,M6.0,,,,d/sdM5/7,2004AJ....127.2856B,d/sdM5/7,2004AJ....127.2856B,VLM,15.908,0.103,15.775,0.161,15.402,0.182,-0.11,,,d/sd,,,,,,,,,,,,,brownD*,2MASS J17330480+0041270,M7V,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
10010_11344.fits,SPEX-PRISM,2004AJ....127.2856B,20030521,52780.5,2MASS J17331764+1529116,J17331764+1529116,263.32349,15.486556,11344,,,,Burgasser,120,,,OK,60,,,,,DC 10,2004AJ....127.2856B,DC 10,2004AJ....127.2856B,WD,15.91,0.067,15.459,0.119,15.536,,,,,,,,,,,,,,,,,,brownD*,2MASS J17331764+1529116,DC10,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
10011_11349.fits,SPEX-PRISM,2004AJ....127.2856B,20030521,52780.5,LP 508-14,J17361766+1346225,264.07358,13.772917,11349,,,,Burgasser,120,,,OK,375,M4.0,,M4 V,,,,M4 V,,VLM,10.412,0.021,9.814,0.026,9.538,0.022,,,,,,,,,,,,,,,,,brownD*,2MASS J17361766+1346225,M4V,,,,,,,,,,244.95,,-49,-240,2005AJ....129.1483L,,,,,,,,,
10012_11393.fits,SPEX-PRISM,2004AJ....127.2856B,20030521,52780.5,LSR 1826+3014,J18261131+3014201,276.54712,30.238916,11393,,,,Burgasser,120,,,OK,296,M7.0,INT-G,M8.5,2002ApJ...581L..47L,d/sdM8.5,BURGASSER-NP,M8.5,2002ApJ...581L..47L,VLM,11.659,0.02,11.175,0.016,10.811,0.019,-0.18,,,d/sd,,,INT-G,SPL,,,,,,,,,brownD*,2MASS J18261131+3014201,M8.5V,2002ApJ...581L..47L,,,,,,,,,2382.12,,-2280,-690,2005AJ....129.1483L,,,,,,,,,
10013_11416.fits,SPEX-PRISM,2004AJ....127.2856B,20030521,52780.5,2MASS J19010601+4718136,J19010601+4718136,285.27502,47.303776,11416,,,,Burgasser,120,,,OK,34,T5.0,,,,T5,2006ApJ...637.1067B,T5,2006ApJ...637.1067B,VLM,15.856,0.071,15.468,0.092,15.641,0.286,0.1,,,,,,,,,,,,,,,,brownD*,2MASS J19010601+4718136,T5,2004AJ....127.2856B,,,,,,,,,376.43,28.28,-110,-360,2009AJ....137....1F,,,,,,,,,
10014_10817.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,2MASS J11240487+3808054,J11240487+3808054,171.02028,38.134834,10817,,,,,120,,,OK,180,M8.0,FLD-G,M8.5 V,2003AJ....126.2421C,,,M8.5 V,2003AJ....126.2421C,VLM,12.713,0.023,12.017,0.027,11.57,0.025,0.05,,,,,,FLD-G,SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015_10836.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,2MASS J11463232+0203414,J11463232+0203414,176.63466,2.0614998,10836,,,,,120,,,POOR,18,M6.0,,,,M5,2004AJ....127.2856B,M5,2004AJ....127.2856B,VLM,15.892,0.098,15.681,0.167,15.467,0.244,-0.04,,,,,,,,,,,,,,,,brownD*,2MASS J11463232+0203414,M5.5V,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
10016_10874.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,2MASS J12095613-1004008,J12095613-1004008,182.48387,-10.066889,10874,,,,,120,,,POOR,15,T3.0,,T3.5,2008ApJ...689.1295K,T3,2006ApJ...637.1067B,T3,2006ApJ...637.1067B,VLM,15.914,0.074,15.329,0.092,15.062,0.141,0.15,,,,,,,,,,Y,,,,,,**,** LIM  2,T2+T7.5,2010ApJ...722..311L,,47.3,11.1,2012ApJ...752...56F,,,21.142,4.961,446.64,9.03,268.8,-356.7,2012ApJ...752...56F,44.75854378,10.54247469,,,,,,,
10017_10945.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,SDSSp J125453.90-012247.4,J12545393-0122474,193.7247,-1.3798333,10945,,,,,120,,,OK,54,T2.0,,T2,2003ApJ...594..510B,T2,2006ApJ...637.1067B,T2,2006ApJ...637.1067B,VLM,14.891,0.035,14.09,0.025,13.837,0.054,0.13,,,,,,,,,,,,,,,,brownD*,2MASS J12545393-0122474,T2e:,2003ApJ...594..510B,,84.9,1.9,2012ApJ...752...56F,,,11.779,0.264,496.33,3.61,-479,130,2009AJ....137....1F,27.71015796,0.651986557,,,,,,,
10019_11040.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,2MASS J14171672-0407311,J14171672-0407311,214.31967,-4.1253057,11040,,,,,120,,,POOR,31,M7.0,VL-G,,,M7,2004AJ....127.2856B,M7,2004AJ....127.2856B,VLM,15.952,0.082,15.367,0.084,15.489,0.218,-0.14,,,,,,VL-G,SPL,,,,,,,,,brownD*,2MASS J14171672-0407311,M8Ve:,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
10020_11100.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,Gliese 570D,J14571496-2121477,224.31232,-21.363251,11100,,,,,120,,,OK,11,T7.0,,T7,2003ApJ...594..510B,T7.5,2006ApJ...637.1067B,T7.5,2006ApJ...637.1067B,VLM,15.324,0.048,15.268,0.089,15.242,0.156,-0.01,,,,,,,,,,,,,,Gliese 570ABC,2000ApJ...531L..57B,brownD*,GJ  570 D,T7.5,2009AJ....137....1F,,169.3,1.7,2012ApJ...752...56F,,,5.907,0.059,2012.02,2.24,1034,-1726,2009AJ....137....1F,56.33185858,0.569101664,,,,,,,located 258.3+/-0.4 at 316 deg from Gl 570A on 5/16/1998 (Burgasser et al. 2000a)
10021_11106.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,2MASS J15031961+2525196,J15031961+2525196,225.83171,25.42211,11106,,,,,120,,,OK,57,T5.0,,T6,2003ApJ...594..510B,T5,2006ApJ...637.1067B,T5,2006ApJ...637.1067B,VLM,13.937,0.024,13.856,0.031,13.963,0.059,-0.02,,,,,,,,,,,,,,,,brownD*,2MASS J15031961+2525196,T5.5,2003AJ....125..850B,,157.2,2.2,2014ApJ...796...39T,,,6.361,0.089,22.85,24.76,9,21,2008MNRAS.384.1399J,0.68890772,0.746607332,,,,,,,
10022_11137.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,2MASS J15243203+0934386,J15243203+0934386,231.13345,9.5773888,11137,,,,,120,,,POOR,26,M7.0,INT-G,,,M7,2004AJ....127.2856B,M7,2004AJ....127.2856B,VLM,15.047,0.057,14.261,0.062,14.302,0.094,-0.17,,,,,,INT-G,SPL,,,,,,,,,brownD*,2MASS J15243203+0934386,M7Ve:,2004AJ....127.2856B,,,,,,,,,155,30.83,29.58,-152.15,2009MNRAS.394..857D,,,,,,,,,
10023_11236.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,SDSSp J162414.37+002915.6,J16241436+0029158,246.05981,0.48772222,11236,,,,,120,,,POOR,9,T6.0,,,,T6,2006ApJ...637.1067B,T6,2006ApJ...637.1067B,VLM,15.494,0.054,15.524,0.1,15.518,,0.15,,,,,,,,,,,,,,,,brownD*,2MASS J16241436+0029158,T6V,2002ApJ...564..421B,,90.9,1.2,2012ApJ...752...56F,,,11.001,0.145,373.11,2.83,-373,-9,2009AJ....137....1F,19.45582607,0.296177493,,,,,,,
10024_11252.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,2MASS J16304206-0232224,J16304206-0232224,247.67523,-2.5395555,11252,,,,,120,,,POOR,15,M7.0,VL-G,,,M7:,2004AJ....127.2856B,M7:,2004AJ....127.2856B,VLM,15.538,0.066,15.295,0.126,14.634,0.114,-0.17,,,,,,VL-G,SPL,,,,,,,,,brownD*,2MASS J16304206-0232224,M8V,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
10025_11254.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,2MASSW J1632291+190441,J16322911+1904407,248.12128,19.077972,11254,,,,,120,,,POOR,17,T0.0,,L8,1999ApJ...519..802K,L8,2006ApJ...637.1067B,L8,1999ApJ...519..802K,VLM,15.867,0.07,14.612,0.038,14.003,0.047,0.42,RED,,,,,,,,,,,,,,,brownD*,2MASS J16322911+1904407,L8,2014AJ....147...34S,,65.6,2.1,2012ApJ...752...56F,,,15.244,0.488,297.93,1.41,293,-54,2009AJ....137....1F,21.52758839,0.696680107,,,,,,,
10026_11270.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,2MASS J16403561+2922225,J16403561+2922225,250.14836,29.372917,11270,,,,,120,,,OK,19,M6.0,,,,d/sdM7,2004AJ....127.2856B,d/sdM7,2004AJ....127.2856B,VLM,15.626,0.085,14.981,0.087,15.007,0.213,-0.1,,,d/sd,,,INT-G,SPL,,,,,,,,,brownD*,2MASS J16403561+2922225,sdM8?,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
10027_11387.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,2MASS J18112466+3748513,J18112466+3748513,272.85272,37.814251,11387,,,,,120,,,POOR,5,M7.0,,,,mid M,2004AJ....127.2856B,mid M,2004AJ....127.2856B,VLM,15.535,0.052,15.217,0.074,15.472,0.18,,,,,,,,,,,,,,,,,brownD*,2MASS J18112466+3748513,M::,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
10028_11425.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,V 1451 Aql,J19202469-1033373,290.10291,-10.560361,11425,,,,,120,,,OK,163,,,M5 III,,,,M5 III,,GIANT,2.305,0.334,1.428,0.254,1.12,0.292,,,III,,,,,,,,,,,,,,LPV*,V* V1451 Aql,M4/5III,1999MSS...C05....0H,,4.41,0.9,2007A&A...474..653V,,,226.757,46.277,14.88,1.36,14.35,3.92,2007A&A...474..653V,15.98893611,3.57726754,68,4.4,2006AstL...32..759G,,,,
10029_11479.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,LHS 3566,J20392378-2926335,309.84906,-29.442638,11479,,,,,120,,,OK,69,M7.0,INT-G,M6 V,,,,M6 V,,VLM,11.357,0.025,10.743,0.023,10.367,0.022,0,,,,,,,,,,,,,,,,brownD*,2MASS J20392378-2926335,M5.5V,2005PASP..117..676R,,57.26,2.68,2005AJ....130..337C,,,17.464,0.817,799.09,4.24,304,-739,2005AJ....130..337C,66.14850476,3.115874607,,,,,,,
10030_11507.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,V Z Cep,J21103752-1610251,317.65631,-16.173637,11507,,,,,120,,,OK,237,,,M Iab,,,,M Iab,,GIANT,6.506,0.02,5.649,0.027,5.22,0.023,,,Iab,,,,,,,,,,,,,,Mira,V* Z Cap,M2e:,1966ApJS...13..333K,,,,,,,,,5.89,3.82,5.8,-1,1988A&AS...74..449R,,,-64,5,1953GCRV..C......0W,,,,
10031_11571.fits,SPEX-PRISM,2004AJ....127.2856B,20030522,52781.5,SV P 2312,J21570181-1406481,329.25757,-14.113361,11571,,,,,120,,,OK,68,,,M7 III,,,,M7 III,,GIANT,1.912,0.266,0.977,0.276,0.624,0.326,0.03,,III,,,,VL-G,SPL,,,,,,,,,PulsV*,HD 208519,M7/8III,1988MSS...C04....0H,,,,,,,,,16.61,1.77,1.9,-16.5,2000A&A...355L..27H,,,-21.62,3.23,2013AJ....146..134K,,,,
10032_10787.fits,SPEX-PRISM,2004AJ....127.2856B,20030523,52782.732,2MASS J11070582+2827226,J11070582+2827226,166.77425,28.456278,10787,05 33 50.541640,,,Burgasser,120,1.012,v3.4,POOR,32,M7.0,VL-G,,,M7,2004AJ....127.2856B,M7,2004AJ....127.2856B,VLM,15.722,0.091,15.572,0.183,14.897,0.119,-0.13,,,,,,VL-G,SPL,,,,,,,,,brownD*,2MASS J11070582+2827226,M7V,2011AJ....141...97W,,,,,,,,,,,,,,,,-29,,2011AJ....141...97W,,,,
10033_10801.fits,SPEX-PRISM,2004AJ....127.2856B,20030523,52782.759,2MASS J11150577+2520467,J11150577+2520467,168.77405,25.346306,10801,06 12 33.575635,,,Burgasser,120,1.018,v3.4,OK,46,M7.0,INT-G,,,M6.5,2004AJ....127.2856B,M6.5,2004AJ....127.2856B,VLM,15.845,0.078,15.027,0.08,15.065,0.139,0.01,,,,,,INT-G,SPL,,,,,,,,,brownD*,2MASS J11150577+2520467,M7.5Ve:,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
10034_10874.fits,SPEX-PRISM,2004AJ....127.2856B,20030523,52782.782,2MASS J12095613-1004008,J12095613-1004008,182.48387,-10.066889,10874,06 46 42.600170,,,Burgasser,120,1.159,v3.4,OK,36,T3.0,,T3.5,2008ApJ...689.1295K,T3,2006ApJ...637.1067B,T3,2006ApJ...637.1067B,VLM,15.914,0.074,15.329,0.092,15.062,0.141,0.15,,,,,,,,,,Y,,,,,,**,** LIM  2,T2+T7.5,2010ApJ...722..311L,,47.3,11.1,2012ApJ...752...56F,,,21.142,4.961,446.64,9.03,268.8,-356.7,2012ApJ...752...56F,44.75854378,10.54247469,,,,,,,
10035_10877.fits,SPEX-PRISM,2004AJ....127.2856B,20030523,52782.806,2MASS J12121714-2253451,J12121714-2253451,183.07141,-22.895861,10877,07 20 44.329474,,,Burgasser,120,1.404,v3.4,POOR,31,M7.0,VL-G,,,M7,2004AJ....127.2856B,M7,2004AJ....127.2856B,VLM,15.688,0.079,15.404,0.146,15.035,0.137,-0.19,,,,,,VL-G,SPL,,,,,,,,,brownD*,2MASS J12121714-2253451,M8Ve,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
10036_10903.fits,SPEX-PRISM,2004AJ....127.2856B,20030523,52782.829,2MASS J12255432-2739466,J12255432-2739466,186.47633,-27.662945,10903,07 54 20.413974,,,Burgasser,120,1.572,v3.4,OK,33,T6.0,,T6,2003ApJ...594..510B,T6,2006ApJ...637.1067B,T6,2006ApJ...637.1067B,VLM,15.26,0.047,15.098,0.081,15.073,0.148,0.19,,,,,,,,,,Y,,,,,,brownD*,WDS J12259-2740AB,T6,2009AJ....137....1F,,75.1,2.5,2012ApJ...752...56F,,,13.316,0.443,736.62,3.61,385,-628,2009AJ....137....1F,46.4923931,1.564323868,,,,,,,binary: a=0.282+/-0.005; PA=250+/-7 (Burgasser et al. 2003)
10037_10987.fits,SPEX-PRISM,2004AJ....127.2856B,20030523,52782.849,2MASS J13272391+0946446,J13272391+0946446,201.84962,9.7790556,10987,08 22 48.758814,,,Burgasser,120,1.03,v3.4,POOR,45,M7.0,INT-G,,,M6,2004AJ....127.2856B,M6,2004AJ....127.2856B,VLM,15.989,0.107,15.34,0.11,15.397,0.197,0.02,,,,,,,,,,,,,,,,brownD*,2MASS J13272391+0946446,M6V,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
10038_11075.fits,SPEX-PRISM,2004AJ....127.2856B,20030523,52782.867,2MASSW J1439284+192915,J14392836+1929149,219.86815,19.487473,11075,08 48 11.811934,,,Burgasser,120,1.001,v3.4,OK,316,L1.0,FLD-G,L1,1999ApJ...519..802K,,,L1,1999ApJ...519..802K,VLM,12.759,0.019,12.041,0.019,11.546,0.022,-0.11,,,,,,FLD-G,SPL,,,,,,,,,brownD*,2MASS J14392836+1929149,L1,2014AJ....147...34S,,69.6,0.5,2012ApJ...752...56F,,,14.368,0.103,1299.73,60.08,-1236,402,2007AJ....133.2258S,88.51614532,4.140993364,-26.74,0.09,2010ApJ...723..684B,11.1,0.24,2010ApJ...723..684B,
10039_11138.fits,SPEX-PRISM,2004AJ....127.2856B,20030523,52782.963,2MASSI J1526140+204341,J15261405+2043414,231.55853,20.728167,11138,11 06 6.7538945,,,Burgasser,120,1.06,v3.4,OK,76,L5.0,INT-G,L7,2000AJ....120..447K,,,L7,2000AJ....120..447K,VLM,15.586,0.055,14.497,0.044,13.922,0.052,-0.08,,,,,,INT-G,SPL,,,,,,,,,brownD*,2MASSI J1526140+204341,L5,2014AJ....147...34S,,48.5,8.7,2012ApJ...752...56F,,,20.619,3.699,406.26,13.53,-206.6,-349.8,2012ApJ...752...56F,39.70415404,7.243865875,,,,,,,
10040_11190.fits,SPEX-PRISM,2004AJ....127.2856B,20030523,52782.944,2MASS J15561873+1300527,J15561873+1300527,239.07805,13.014639,11190,10 38 54.683804,,,Burgasser,120,1.014,v3.4,OK,33,M8.0,INT-G,,,d/sdM8,2004AJ....127.2856B,d/sdM8,2004AJ....127.2856B,VLM,15.91,0.082,15.779,0.16,14.846,0.107,-0.13,,,d/sd,,,INT-G,SPL,,,,,,,,,brownD*,2MASS J15561873+1300527,M9V,2011AJ....141...97W,,,,,,,,,,,,,,,,26,,2011AJ....141...97W,,,,
10041_11267.fits,SPEX-PRISM,BURGASSER-NP,20030523,52782.975,2MASS J16390818+2839015,J16390818+2839015,249.78407,28.650415,11267,11 23 18.166827,,,Burgasser,120,1.019,v3.4,OK,39,M8.0,INT-G,,,M8,2010ApJS..190..100K,M8,2010ApJS..190..100K,VLM,15.848,0.078,15.345,0.108,14.862,0.095,-0.09,,,,,,INT-G,SPL,,,,,,,,,brownD*,2MASS J16390818+2839015,M9V,2011AJ....141...97W,,,,,,,,,114.97,24.04,104,-49,2010MNRAS.404.1817Z,,,56,,2011AJ....141...97W,,,,
