NAME,DESIGNATION,RA,DEC,SOURCE_KEY,OPT_TYPE,OPT_TYPE_REF,NIR_TYPE,NIR_TYPE_REF,LIT_TYPE,LIT_TYPE_REF,OBJECT_TYPE,J_2MASS,J_2MASS_E,H_2MASS,H_2MASS_E,KS_2MASS,KS_2MASS_E,JK_EXCESS,COLOR_EXTREMITY,LUMINOSITY_CLASS,METALLICITY_CLASS,GRAVITY_CLASS_OPTICAL,GRAVITY_CLASS_OPTICAL_REF,GRAVITY_CLASS_NIR,GRAVITY_CLASS_NIR_REF,CLUSTER,CLUSTER_REF,LIBRARY,BINARY,BINARY_REF,SBINARY,SBINARY_REF,COMPANION_NAME,COMPANION_REF,SIMBAD_OTYPE,SIMBAD_NAME,SIMBAD_SPT,SIMBAD_SPT_REF,SIMBAD_SEP,PARALLAX,PARALLAX_E,PARALLEX_REF,DISTANCE_PHOT,DISTANCE_PHOT_E,DISTANCE,DISTANCE_E,MU,MU_E,MU_RA,MU_DEC,MU_REF,VTAN,VTAN_E,RV,RV_E,RV_REF,VSINI,VSINI_E,VSINI_REF,NOTE
SDSS J000649.16-085246.3,J00064916-0852463,1.7048334,-8.879528,10018,M9,2008AJ....135..785W,M9+T5,2012ApJ...757..110B,M9,2008AJ....135..785W,VLM,14.143,0.03,13.551,0.028,13.132,0.039,-0.06,,,,,,FLD-G,SPL,,,sbinary companion binary,Y,,Y,,LP 704-48,2012ApJ...757..110B,SB*,2MASS J00064916-0852457,M9V,2011AJ....141...97W,,,,,,,,,,,,,,,,4,,2011AJ....141...97W,,,,spectral binary
2MASS J00065722+0236124,J00065722+0236124,1.739916667,2.60695,12732,,,L2.0,SPL,L3,SPL,VLM,16.521,0.116,15.948,0.143,15.568,0.171,-0.407,,,,,,INT-G,SPL,,,,,,,,,,,,,,,,,,71.57547831,11.81470069,71.57547831,11.81470069,,,,,,,,,,,,,,
2MASS J0007078-245804,J00070787-2458042,1.7827917,-24.967834,10019,M7,2007AJ....133..439C,,,M7,2007AJ....133..439C,VLM,13.115,0.024,12.447,0.024,12.06,0.023,0.09,,,,,,INT-G,SPL,,,,,,,,,,brownD*,2MASS J00070787-2458042,M7,2009AJ....137....1F,,,,,,,,,196.47,28.28,190,-50,2003A&A...397..575P,,,,,,,,,
LEHPM 1-204,J00072422-3128350,1.8509166,-31.476389,10020,,,esdM4:,BURGASSER-NP,esdM4:,BURGASSER-NP,STAR,16.31,0.097,15.47,0.127,15.516,0.223,,,,esd,,,,,,,subdwarf,,,,,,,PM*,2MASS J00072454-3128404,,,,,,,,,,,411.1,22.36,270,-310,2003A&A...397..575P,,,,,,,,,
2MASS J00082822+3125581,J00082822+3125581,2.118583333,31.43335833,12734,,,M8.0,SPL,M7,SPL,VLM,15.611,0.065,15.023,0.082,14.666,0.078,-0.105,,,,,,VL-G,SPL,,,,,,,,,,,,,,,,,,87.24877138,18.54691515,87.24877138,18.54691515,,,,,,,,,,,,,,
2MASS J00085931+2911521,J00085931+2911521,2.2471251,29.197805,10021,M8.5,2008AJ....136.1290R,M8.5,,M8.5,2008AJ....136.1290R,VLM,13.827,0.024,13.127,0.026,12.69,0.026,-0.01,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J00085931+2911521,M8.5,2008AJ....136.1290R,,,,,,,,,290,59.68,-149.36,-248.58,2010ApJS..190..100K,,,,,,,,,
2MASS J00100009-2031122,J00100009-2031122,2.500375,-20.520056,10022,L0,2007AJ....133..439C,,,L0,2007AJ....133..439C,VLM,14.134,0.024,13.368,0.03,12.882,0.03,-0.06,,,,,,FLD-G,SPL,,,blue,,,,,,,brownD*,2MASSI J0010001-203112,L0,2009AJ....137....1F,,,,,,,,,121.04,26.25,117,31,2008MNRAS.384.1399J,,,,,,,,,
2MASS J00100480-0930519,J00100480-0930519,2.522125,-9.513066667,12735,,,M8.0,SPL,M9,SPL,VLM,16.329,0.096,16.007,0.22,15.241,0.165,0.038,,,,,,VL-G,SPL,,,,,,Y,2017arXiv170803688K,,,,,,,,,,,121.1131029,20.02200743,121.1131029,20.02200743,,,,,,,,,,,,,,
2MASS J00102936-0746487,J001029365-07464878,2.622333333,-7.780216667,12097,,,,,,,VLM,13.131,0.027,12.495,0.024,12.083,0.026,,,,,,,FLD-G,SPL,,,,,,,,,,Star,2MASS J00102936-0746487,,,11.77418748,,,,,,,,,,,,,,,,,,,,,
2MASS J0011094+514923,J0011094+514923,2.7891667,51.823055,10023,galaxy?,,galaxy,SPL,galaxy,SPL,GALAXY,16.678,0.141,15.513,0.121,14.648,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHS 1035,J00114208-2057129,2.9253335,-20.953585,10024,sdM6,2005PASP..117..676R,,,sdM6,2005PASP..117..676R,VLM,13.348,0.024,12.848,0.025,12.515,0.026,-0.02,,,sd,,,,,,,subdwarf,,,,,,,PM*,LHS 1035,sdM6,2008ApJ...672.1153R,,,,,,,,,609.01,7.07,609,4,2003ApJ...582.1011S,,,,,,,,,
2MASS J00115060-1523450,J00115060-1523450,2.9608333,-15.395833,10025,,,M7,2004AJ....127.2856B,M7,2004AJ....127.2856B,VLM,15.94,0.08,15.71,0.14,15.31,0.14,-0.16,,,,,,VL-G,SPL,,,,,,,,,,brownD*,2MASS J00115060-1523450,M7.5Ve,2004AJ....127.2856B,,,,,,,,,,,,,,,,,,,,,,
2MASS J00130931-0025521,J00130932-0025522,3.288833333,-0.431116667,11809,,,M6.0,SPL,M6.0V,2012AJ....144...99D,VLM,12.167,0.025,11.634,0.027,11.319,0.028,-0.07,,,,,,FLD-G,SPL,,,,,,,,,,low-mass*,2MASS J00130931-0025521,M6.0V,2012AJ....144...99D,3.802,,,,28.1,5.152,28.1076,5.1522,97.08243,0,97,4,2003A&A...401..959P,12.93430715,,19.9,2.3,2012AJ....144...99D,17.4,3,2012AJ....144...99D,
2MASS J00132229-1143006,J00132229-1143006,3.345291667,-11.71889722,12737,,,T3.0,SPL,T3p,SPL,VLM,16.349,0.095,15.682,0.109,15.69,0.216,0.249,,,,,,INT-G,SPL,,,,,,Y,2017arXiv170803688K,,,,,,,,,,,22.22853342,3.648215715,22.22853342,3.648215715,,,,,,,,,,,,,,
2MASS J00133470+1109403,J00133470+1109403,3.397541667,11.1589,12300,,,L2.0,SPL,L2.0,SPL,VLM,15.721,0.075,14.707,0.062,14.225,0.067,0.136,,,,,,VL-G,SPL,,,,,,,,,,,,,,,,,,48.51978766,9.545470728,48.51978766,9.545470728,,,,,,,,,,,,,,
2MASS J00133470+1109403,J00133470+1109403,3.3975,11.16168889,12736,,,L7.0,SPL,L1p,SPL,VLM,15.721,0.075,14.707,0.062,14.225,0.067,-0.224,RED,,,,,INT-G,SPL,,,,,,Y,2017arXiv170803688K,,,,,,,,,,,19.54359024,3.168613085,19.54359024,3.168613085,,,,,,,,,,,,,,
2MASSI J0013578-223520,J00135779-2235200,3.4907918,-22.58889,10026,L4,2003A&A...403..929K,,,L4,2003A&A...403..929K,VLM,15.775,0.065,14.595,0.062,14.036,0.051,-0.1,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J00135779-2235200,L4,2009AJ....137....1F,,,,,,,,,84.17,31.89,58,-61,2008MNRAS.390.1517C,,,,,,,,,
NLTT 687B,J001358821-18164624,3.495083333,-18.27951111,12042,L1,2015ApJ...802...37B,L5pec,2015ApJ...814..118B,L1,2015ApJ...802...37B,VLM,16.54,0.14,15.89,0.17,15.04,0.13,,,,,,,FLD-G,SPL,,,,,,Y,2,NLTT 687,2015ApJ...802...37B,IR,2MASS J00135882-1816462,,,0.220460575,,,,,,,,182.5269843,25.8094,-9.1,-182.3,2016arXiv160706117R,,,,,,,,,
WISE J001450.14-083823.1,J00145014-0838231,3.7089167,-8.6397219,10027,,,sdM9,2014ApJ...787..126L,sdM9,2014ApJ...787..126L,VLM,14.47,0.03,13.95,0.03,13.77,0.04,-0.41,BLUE,,sd,,,INT-G,SPL,,,subdwarf,,,,,,,PM*,WISE J001450.14-083823.1,,,,,,,,,43.857,7.771,1475.85,14.87,1454,-253,2014ApJ...781....4L,306.8052865,,,,,,,,
2MASS J00145575-4844171,J00145575-4844171,3.7322917,-48.738083,10028,L2.5pec,2008ApJ...689.1295K,,,L2.5pec,2008ApJ...689.1295K,VLM,14.05,0.035,13.107,0.036,12.723,0.03,-0.2,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J00145575-4844171,L2.5,2009AJ....137....1F,,,,,,,,,895.57,14.42,851,279,2008MNRAS.390.1517C,,,,,,,,,
2MASS J00150206+2959323,J00150206+2959323,3.7585835,29.992306,10029,L7,2010ApJS..190..100K,L7.5pec,2010ApJS..190..100K,L7,2010ApJS..190..100K,VLM,16.158,0.081,15.226,0.084,14.482,0.073,-0.09,,,,,,FLD-G,SPL,,,blue,,,,,,,brownD*,2MASS J00150206+2959323,L8.5,2014AJ....147...34S,,,,,,,,,500,89.69,428.58,-257.52,2010ApJS..190..100K,,,,,,,,,
2MASS J00150673+3006004,J00150673+3006004,3.779833333,30.10030278,12738,,,L2.0,SPL,L2,SPL,VLM,16.099,0.096,15.065,0.092,14.404,0.075,0.335,,,,,,FLD-G,SPL,,,,,,,,,,,,,,,,,,57.63220329,11.08335004,57.63220329,11.08335004,,,,,,,,,,,,,,
2MASSW J0015447+351603,J00154476+3516026,3.9364998,35.267387,10030,L2,2000AJ....120..447K,,,L2,2000AJ....120..447K,VLM,13.878,0.03,12.892,0.036,12.264,0.024,0.17,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASSW J0015447+351603,L2V,2000AJ....120..447K,,,,,,,,,259.62,22.8,83,-246,2008MNRAS.384.1399J,,,-37.35,0.16,2010ApJ...723..684B,10.23,2.55,2010ApJ...723..684B,
SDSS J001608.44-004302.3,J00160843-00430209,4.0351253,-0.71722221,10031,,,L5.5,2004AJ....127.3553K,L5.5,2004AJ....127.3553K,VLM,16.326,0.116,15.229,0.112,14.541,0.09,0.28,,,,,,INT-G,SPL,,,,,,,,,,Star,2MASS J00160844-0043021,L5.5,2004AJ....127.3553K,,,,,,,,,,,,,,,,,,,,,,
2MASS J00163761+3448368,J00163761+3448368,4.1567087,34.810223,10032,,,M8.5,2010ApJS..190..100K,M8.5,2010ApJS..190..100K,VLM,14.784,0.036,14.157,0.043,13.783,0.037,-0.01,,,,,,FLD-G,SPL,,,,,,,,,,Star,2MASS J00163761+3448368,M8.5,2010ApJS..190..100K,,,,,,,,,300,40.31,297.76,36.56,2010ApJS..190..100K,,,,,,,,,
SDSS J001637.62-103911.2,J00163762-1039112,4.1567502,-10.653111,10033,L0,2008AJ....135..785W,,,L0,2008AJ....135..785W,VLM,15.455,0.052,14.78,0.069,14.533,0.096,0.08,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J00163762-1039106,L0,2008AJ....135..785W,,,,,,,,,267.18,77.79,-46.5,-263.1,2010AJ....139.1808S,,,,,,,,,
PSO J004.1834+23.0741,J00164396+2304267,4.18316667,23.07390833,11913,,,T0.0,SPL,T0.0,2015ApJ...814..118B,VLM,16.58,0.03,15.72,0.02,15.24,0.05,-0.02,,,,,,INT-G,SPL,,,,,,,,,,,,,,,,,,23.29,4.275,23.2916,4.2753,,,,,,,,,,,,,,
WISE J00164397+2304265,J00164397+2304265,4.18320833,23.07390278,11965,,,T1.0,SPL,T0,2016ApJ...817..112S,VLM,16.412,0,15.704,0.138,14.973,0,,,,,,,INT-G,SPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J00165953-4056541,J00165953-4056541,4.2480421,-40.94836,10034,L3.5,2008ApJ...689.1295K,,,L5.5,2014AJ....147...34S,VLM,15.316,0.061,14.206,0.048,13.432,0.038,0.19,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J00165953-4056541,L5.5,2014AJ....147...34S,,,,,,,,,163.78,14.87,163,16,2008MNRAS.390.1517C,,,,,,,,,
LSPM J0018+2853,J00180652+2853259,4.5271668,28.890528,10035,,,sdM6,BURGASSER-NP,sdM6,BURGASSER-NP,VLM,16.195,0.084,15.623,0.11,15.492,0.195,,,,sd,,,,,,,subdwarf,,,,,,,PM*,2MASS J00180652+2853259,,,,,,,,,,,538,,538,0,2005AJ....129.1483L,,,,,,,,,
PSO J004.7148+51.8918,J00185151+5153306,4.714625,51.89168333,11914,,,L7.0,SPL,L7.0,2015ApJ...814..118B,VLM,16.82,0.15,15.29,0.11,14.64,0.07,0.46,RED,,,,,VL-G,SPL,,,,,,,,,,,,,,,,,,33.91,6.979,33.9186,6.9792,,,,,,,,,,,,,,
SDSS J001911.65+003017.8,J00191165+0030176,4.7985415,0.50488889,10036,L1,2002AJ....123.3409H,,,L1,2002AJ....123.3409H,VLM,14.921,0.037,14.18,0.041,13.568,0.034,0.06,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASS J00191165+0030176,L1,2002AJ....123.3409H,,,,,,,,,38.29,21.1,-29,-25,2008MNRAS.384.1399J,,,,,,,,,
2MASSI J0019262+461407,J001926261+46140781,4.859416667,46.23550278,12301,,,M8.0,SPL,M8,2007AJ....133.2258S,VLM,12.603,0.021,11.94,0.023,11.502,0.014,0.051,,,,,,FLD-G,SPL,,,,,,,,,,PM*,2MASSI J0019262+461407,M8,2007AJ....133.2258S,1.752489573,,,,21.05941617,3.919567488,21.05941617,3.919567488,170.0176461,50,141,-95,2007AJ....133.2258S,16.97143901,,-19.5,3,2009ApJ...705.1416R,,,,
2MASS J00193927-3724392,J00193927-3724392,4.9136248,-37.410889,10037,L3:,,L3: beta,2015ApJS..219...33G,L3:,2015ApJS..219...33G,VLM,15.519,0.06,14.47,0.04,13.689,0.058,0.16,,,,beta,,INT-G,OTHER,Field,2015ApJS..219...33G,young,,,,,,,IR,2MASS J00193927-3724392,L3.5,2010ApJ...710.1142B,,,,,,,,,,,,,,,,,,,,,,
2MASS J0019457+521317,J0019457+521317,4.9404168,52.22139,10038,M9,2003AJ....126.2421C,,,M9,2003AJ....126.2421C,VLM,12.792,0.023,12.072,0.024,11.622,0.019,0.08,,,,,,FLD-G,SPL,,,,,,,,,,brownD*,2MASSI J0019457+521317,M9,2007AJ....133.2258S,,,,,,,,,290.27,200.38,271,-104,2007AJ....133.2258S,,,-29.1,3,2009ApJ...705.1416R,,,,
LP 825-35,J00202316-2346054,5.0965,-23.76806666,12002,,,M6.0,SPL,M6e,2006A&A...446..515P,VLM,12.345,0.02,11.718,0.021,11.335,0.021,0.089,,,,,,FLD-G,SPL,,,,,,,,,,PM*,LP 825-35,M6e,2006A&A...446..515P,3.050040598,,,,29.29313267,5.708886409,29.29313267,5.708886409,345.25353,10,340,-60,2003A&A...397..575P,47.93826236,,,,,,,,
DENIS-P J0020.9-4414,J00205982-4414340,5.2492504,-44.242779,10039,M8V,1998A&A...338.1066T,,,M8V,1998A&A...338.1066T,VLM,14.9,0.039,14.2,0.041,13.714,0.055,-0.11,,,,,,FLD-G,SPL,,,,,,,,,,Star,DENIS-P J0020.9-4414,,,,,,,,,,,,,,,,,,,,,,,,
LEHPM 1-494B,J00210589-4244433,5.2745419,-42.745361,10040,M9.5,2000ApJ...538..363B,,,M9.5,2000ApJ...538..363B,VLM,13.521,0.025,12.809,0.025,12.304,0.025,-0.02,,,,,,FLD-G,SPL,Field,2015ApJS..219...33G,companion,,,,,LEHPM 1-494A,1998A&A...338.1066T,brownD*,2MASS J00210589-4244433,M9.5V,,,39.77,2.1,2014AJ....147...94D,,,25.145,1.328,250.65,10.3,250,18,2003AJ....125..984M,29.87346114,1.998504497,,,,,,,
SDSS J00220934-0110397,J00220934-0110397,5.5389166,-1.1776944,10041,L0,2010AJ....139.1808S,,,L0,2010AJ....139.1808S,VLM,15.82,0.07,15.09,0.08,14.7,0.1,0,,,,,,FLD-G,SPL,,,young,,,,,,,brownD*,2MASS J00220932-0110399,M9V,2011AJ....141...97W,,,,,,,,,,,,,,,,,,,,,,young?
1RXS J002247.5+055709,J00224759+0557119,5.697916667,5.9525,12715,,,M6.0,SPL,M6.0,SPL,VLM,11.9,0.026,11.347,0.026,10.992,0.021,-0.012,,,,,,,,,,,,,,,,,X,1RXS J002247.5+055709,,,8.727485467,,,,23.99703048,4.616665049,23.99703048,4.616665049,,,,,,,,,,,,,,
2MASS J00234750-3239250,J00234750-3239250,5.9479165,-32.656944,10042,M7,,,,M7,,VLM,12.619,0.022,11.961,0.024,11.632,0.023,-0.02,,,,,,,,,,,,,,,,,brownD*,2MASSI J0023475-323925,M7,,,,,,,,,,,,,,,,,,,,,,,
DY Psc,J00242514-0158166,6.1047502,-1.9712778,10043,M9.5,2007AJ....133..439C,,,M9.5,2007AJ....133..439C,VLM,11.992,0.035,11.084,0.022,10.539,0.023,-0.01,,,,,,FLD-G,SPL,,,,,,,,,,BYDra,V* DY Psc,M9.5V,2001ApJ...548..908L,,80,3.4,2009ApJ...704..975J,,,12.5,0.531,211.52,28.28,-136,162,2003ApJ...582.1011S,12.5324605,1.758449395,10.4,3,2009ApJ...705.1416R,,,,
